id,book_title,book_author,book_narrator,book_genre,book_year,book_length,book_publisher,image_link,amazon_link,amazon_price,goodreads
3999,The Notorious Jumping Frog of Calaveras County - Mark Twain,Mark Twain,,Classics,2009,160 pages,Pushkin Press ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328696633l/2194905.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=2194905&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,11.99,https://www.goodreads.com/book/show/2194905.The_Notorious_Jumping_Frog_of_Calaveras_County?from_search=true&from_srp=true&qid=LB1fWDuIER&rank=1
11772,"I, Robot ",Isaac Asimov,,Science Fiction,2004,224 pages,Spectra ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388321463l/41804.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=41804&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,7.99,https://www.goodreads.com/book/show/41804.I_Robot?from_search=true&from_srp=true&qid=LM0MMPnYjt&rank=1
11774,The Complete Robot ,Isaac Asimov,,Science Fiction,1995,688 pages,Voyager/HarperCollins ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405467461l/50091.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=50091&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/50091.The_Complete_Robot?from_search=true&from_srp=true&qid=8ZI6MYMzFT&rank=1
11776,Robot Dreams ,Sara Varon,,Sequential Art,2007,208 pages,First Second ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434498541l/377254._SX318_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=377254&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/377254.Robot_Dreams?from_search=true&from_srp=true&qid=4Igk74b12k&rank=1
11778,Robot Visions ,"Isaac Asimov
Ralph McQuarrie",,Science Fiction,1991,496 pages,RoC ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554365530l/41823.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=41823&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,7.99,https://www.goodreads.com/book/show/41823.Robot_Visions?from_search=true&from_srp=true&qid=0Khp27GJuZ&rank=1
11780,The Positronic Man ,"Isaac Asimov
Robert Silverberg",,Science Fiction,1994,290 pages,Bantam/Spectra ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467471941l/651964._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=651964&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/651964.The_Positronic_Man?from_search=true&from_srp=true&qid=EoDaEB6IbM&rank=1
11782,Mother Earth ,Sue Harrison,,Historical,1991,402 pages,Avon ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387739338l/1047507.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=1047507&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,6.99,https://www.goodreads.com/book/show/1047507.Mother_Earth_Father_Sky?from_search=true&from_srp=true&qid=9yVPoiRrB6&rank=1
11784,Caves Of Steel - Robot Series Book 1 ,,,,,,,,,,
11786,The Naked Sun - Robot Series Book 2 ,,,,,,,,,,
11788,The Robots of Dawn - Robot Series Book 3 ,,,,,,,,,,
11790,Robots and Empire - Robot Series Book 4 ,,,,,,,,,,
11792,"The Stars, Like Dust - Empire Book 1 ",,,,,,,,,,
11794,The Currents of Space - Empire Book 2 ,Isaac Asimov,,Science Fiction,1958,205 pages,Panther ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409034372l/23044234.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=23044234&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/23044234-the-currents-of-space?from_search=true&from_srp=true&qid=jfKrb2Ijwi&rank=1
11796,Pebble in the Sky - Empire Book 3 ,,,,,,,,,,
