id,book_title,book_author,book_narrator,book_genre,book_year,book_length,book_publisher,image_link,amazon_link,amazon_price,goodreads
2341,We,Anthony Doerr,,Historical,2014,531 pages,Scribner ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451445646l/18143977.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=18143977&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,13.99,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see?from_search=true&from_srp=true&qid=oQ8hEcrwp4&rank=1
2342,At Terror Street and Agony Way,Charles Bukowski,,Poetry,2000,,Ellipsis Arts ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328047976l/2525115.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=2525115&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/2525115.At_Terror_Street_And_Agony_Way?from_search=true&from_srp=true&qid=FxJKqKpkq5&rank=1
2344,"Neither Bought For Gold, Nor To The Devil Sold- The Life And Hazardous Times Of Charles Bukowski",Keith Rodway,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495287922l/17315330._SX318_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=17315330&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/17315330-neither-bought-for-gold-nor-to-the-devil-sold?from_search=true&from_srp=true&qid=OBIHBTncd9&rank=1
2345,Solid Citizen ,David Wishart,,Mystery,2013,224 pages,Creme de la Crime,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366275985l/17707251.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=17707251&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,8.79,https://www.goodreads.com/book/show/17707251-solid-citizens?from_search=true&from_srp=true&qid=BbCyI5rt3d&rank=1
2347,Uncensored ,"Legs McNeil
Gillian McCain",,Music,2006,452 pages,Grove Press ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436668905l/14595._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=14595&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,9.99,https://www.goodreads.com/book/show/14595.Please_Kill_Me?from_search=true&from_srp=true&qid=U7LuiFG5fX&rank=1
2349,Ham on Rye ,Charles Bukowski,,Fiction,2014,288 pages,Ecco ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388195001l/38501.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=38501&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,11.49,https://www.goodreads.com/book/show/38501.Ham_on_Rye?from_search=true&from_srp=true&qid=3kXilkkHVV&rank=1
2352,Hollywood ,"Mikel Jollett
Mikel Jollett",,Nonfiction,2020,384 pages,Celadon Books ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573243209l/49235526._SX318_SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=49235526&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,14.99,https://www.goodreads.com/book/show/49235526-hollywood-park?from_search=true&from_srp=true&qid=BfJjQKs59y&rank=1
2354,Hot Water Music ,Charles Bukowski,,Fiction,2002,224 pages,Ecco ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428126071l/50453.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=50453&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,11.99,https://www.goodreads.com/book/show/50453.Hot_Water_Music?from_search=true&from_srp=true&qid=fNdecNG9uS&rank=1
2439,The Story of Civilization,"Will Durant
Ariel Durant",,History,1997,870 pages,Fine Communications ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387729394l/78163.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=78163&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,14.99,https://www.goodreads.com/book/show/78163.The_Age_of_Napoleon?from_search=true&from_srp=true&qid=s1Idw70abn&rank=1
2563,The Dharma Bums,Jack Kerouac,,Fiction,1986,244 pages,Penguin Books ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428986082l/412732.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=412732&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/412732.The_Dharma_Bums?from_search=true&from_srp=true&qid=6YBnhWDM1r&rank=1
